TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
121008,gm. Łabowa,4485,3066,60,241,73,2002,290,272,128,0,0,0,0,0
121009,gm. Łącko,12131,8623,329,803,195,5461,815,731,289,0,0,0,0,0
121010,gm. Łososina Dolna,8203,6201,128,565,115,4188,481,425,299,0,0,0,0,0
121011,gm. Muszyna,9268,6492,124,740,222,3127,576,1462,241,0,0,0,0,0
121012,gm. Nawojowa,6388,4613,108,432,109,2833,445,502,184,0,0,0,0,0
121013,gm. Piwniczna-Zdrój,8024,5315,96,583,163,3083,356,780,254,0,0,0,0,0
121014,gm. Podegrodzie,9785,7253,741,552,121,4360,643,542,294,0,0,0,0,0
121015,gm. Rytro,2828,2071,51,235,73,1234,158,230,90,0,0,0,0,0
121016,gm. Stary Sącz,17806,13020,331,1335,386,7371,1212,1727,658,0,0,0,0,0
121101,m. Nowy Targ,25203,17343,400,2065,762,6360,1608,5285,863,0,0,0,0,0
121102,gm. Szczawnica,7013,5115,147,797,279,1916,394,1448,134,0,0,0,0,0
121103,gm. Czarny Dunajec,17064,9087,196,1086,165,5554,911,798,377,0,0,0,0,0
121104,gm. Czorsztyn,6042,3949,102,579,143,1934,407,673,111,0,0,0,0,0
121105,gm. Jabłonka,13970,9494,279,543,157,6099,1085,658,673,0,0,0,0,0
121106,gm. Krościenko nad Dunajcem,5387,3760,73,507,156,1959,306,667,92,0,0,0,0,0
121107,gm. Lipnica Wielka,4433,2933,53,219,49,1940,325,213,134,0,0,0,0,0
121108,gm. Łapsze Niżne,7159,4198,86,515,135,2432,368,486,176,0,0,0,0,0
121109,gm. Nowy Targ,18140,11249,232,1066,281,6302,987,1917,464,0,0,0,0,0
121110,gm. Ochotnica Dolna,6376,4395,78,386,94,2935,357,365,180,0,0,0,0,0
121111,gm. Raba Wyżna,10893,7033,473,658,206,3846,617,907,326,0,0,0,0,0
121112,gm. Rabka-Zdrój,13498,9527,275,1014,409,4623,717,1978,511,0,0,0,0,0
121113,gm. Spytkowice,3433,2334,65,196,51,1293,188,263,278,0,0,0,0,0
